"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Queanbeyan - East","Negative income",17
"Persons Place of Usual Residence","Queanbeyan - East","Nil income",286
"Persons Place of Usual Residence","Queanbeyan - East","$1-$149 ($1-$7,799)",111
"Persons Place of Usual Residence","Queanbeyan - East","$150-$299 ($7,800-$15,599)",160
"Persons Place of Usual Residence","Queanbeyan - East","$300-$399 ($15,600-$20,799)",255
"Persons Place of Usual Residence","Queanbeyan - East","$400-$499 ($20,800-$25,999)",251
"Persons Place of Usual Residence","Queanbeyan - East","$500-$649 ($26,000-$33,799)",276
"Persons Place of Usual Residence","Queanbeyan - East","$650-$799 ($33,800-$41,599)",344
"Persons Place of Usual Residence","Queanbeyan - East","$800-$999 ($41,600-$51,999)",389
"Persons Place of Usual Residence","Queanbeyan - East","$1,000-$1,249 ($52,000-$64,999)",434
"Persons Place of Usual Residence","Queanbeyan - East","$1,250-$1,499 ($65,000-$77,999)",339
"Persons Place of Usual Residence","Queanbeyan - East","$1,500-$1,749 ($78,000-$90,999)",274
"Persons Place of Usual Residence","Queanbeyan - East","$1,750-$1,999 ($91,000-$103,999)",167
"Persons Place of Usual Residence","Queanbeyan - East","$2,000-$2,999 ($104,000-$155,999)",280
"Persons Place of Usual Residence","Queanbeyan - East","$3,000 or more ($156,000 or more)",128
"Persons Place of Usual Residence","Queanbeyan - East","Not stated",275
"Persons Place of Usual Residence","Queanbeyan - East","Not applicable",801
"Persons Place of Usual Residence","Queanbeyan - East","Total",4785
"Persons Place of Usual Residence","Queanbeyan Region","Negative income",38
"Persons Place of Usual Residence","Queanbeyan Region","Nil income",890
"Persons Place of Usual Residence","Queanbeyan Region","$1-$149 ($1-$7,799)",527
"Persons Place of Usual Residence","Queanbeyan Region","$150-$299 ($7,800-$15,599)",561
"Persons Place of Usual Residence","Queanbeyan Region","$300-$399 ($15,600-$20,799)",598
"Persons Place of Usual Residence","Queanbeyan Region","$400-$499 ($20,800-$25,999)",578
"Persons Place of Usual Residence","Queanbeyan Region","$500-$649 ($26,000-$33,799)",639
"Persons Place of Usual Residence","Queanbeyan Region","$650-$799 ($33,800-$41,599)",738
"Persons Place of Usual Residence","Queanbeyan Region","$800-$999 ($41,600-$51,999)",985
"Persons Place of Usual Residence","Queanbeyan Region","$1,000-$1,249 ($52,000-$64,999)",1260
"Persons Place of Usual Residence","Queanbeyan Region","$1,250-$1,499 ($65,000-$77,999)",1035
"Persons Place of Usual Residence","Queanbeyan Region","$1,500-$1,749 ($78,000-$90,999)",1096
"Persons Place of Usual Residence","Queanbeyan Region","$1,750-$1,999 ($91,000-$103,999)",722
"Persons Place of Usual Residence","Queanbeyan Region","$2,000-$2,999 ($104,000-$155,999)",1479
"Persons Place of Usual Residence","Queanbeyan Region","$3,000 or more ($156,000 or more)",726
"Persons Place of Usual Residence","Queanbeyan Region","Not stated",1510
"Persons Place of Usual Residence","Queanbeyan Region","Not applicable",3568
"Persons Place of Usual Residence","Queanbeyan Region","Total",16945
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","Negative income",31
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","Nil income",749
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$1-$149 ($1-$7,799)",462
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$150-$299 ($7,800-$15,599)",413
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$300-$399 ($15,600-$20,799)",401
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$400-$499 ($20,800-$25,999)",437
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$500-$649 ($26,000-$33,799)",445
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$650-$799 ($33,800-$41,599)",525
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$800-$999 ($41,600-$51,999)",729
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$1,000-$1,249 ($52,000-$64,999)",881
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$1,250-$1,499 ($65,000-$77,999)",848
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$1,500-$1,749 ($78,000-$90,999)",799
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$1,750-$1,999 ($91,000-$103,999)",602
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$2,000-$2,999 ($104,000-$155,999)",1250
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","$3,000 or more ($156,000 or more)",648
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","Not stated",511
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","Not applicable",2918
"Persons Place of Usual Residence","Queanbeyan West - Jerrabomberra","Total",12642
"Persons Place of Usual Residence","Bombala","Negative income",19
"Persons Place of Usual Residence","Bombala","Nil income",130
"Persons Place of Usual Residence","Bombala","$1-$149 ($1-$7,799)",72
"Persons Place of Usual Residence","Bombala","$150-$299 ($7,800-$15,599)",168
"Persons Place of Usual Residence","Bombala","$300-$399 ($15,600-$20,799)",199
"Persons Place of Usual Residence","Bombala","$400-$499 ($20,800-$25,999)",208
"Persons Place of Usual Residence","Bombala","$500-$649 ($26,000-$33,799)",174
"Persons Place of Usual Residence","Bombala","$650-$799 ($33,800-$41,599)",157
"Persons Place of Usual Residence","Bombala","$800-$999 ($41,600-$51,999)",191
"Persons Place of Usual Residence","Bombala","$1,000-$1,249 ($52,000-$64,999)",154
"Persons Place of Usual Residence","Bombala","$1,250-$1,499 ($65,000-$77,999)",105
"Persons Place of Usual Residence","Bombala","$1,500-$1,749 ($78,000-$90,999)",86
"Persons Place of Usual Residence","Bombala","$1,750-$1,999 ($91,000-$103,999)",49
"Persons Place of Usual Residence","Bombala","$2,000-$2,999 ($104,000-$155,999)",40
"Persons Place of Usual Residence","Bombala","$3,000 or more ($156,000 or more)",22
"Persons Place of Usual Residence","Bombala","Not stated",208
"Persons Place of Usual Residence","Bombala","Not applicable",403
"Persons Place of Usual Residence","Bombala","Total",2391
"Persons Place of Usual Residence","Cooma","Negative income",18
"Persons Place of Usual Residence","Cooma","Nil income",272
"Persons Place of Usual Residence","Cooma","$1-$149 ($1-$7,799)",205
"Persons Place of Usual Residence","Cooma","$150-$299 ($7,800-$15,599)",402
"Persons Place of Usual Residence","Cooma","$300-$399 ($15,600-$20,799)",566
"Persons Place of Usual Residence","Cooma","$400-$499 ($20,800-$25,999)",595
"Persons Place of Usual Residence","Cooma","$500-$649 ($26,000-$33,799)",506
"Persons Place of Usual Residence","Cooma","$650-$799 ($33,800-$41,599)",527
"Persons Place of Usual Residence","Cooma","$800-$999 ($41,600-$51,999)",516
"Persons Place of Usual Residence","Cooma","$1,000-$1,249 ($52,000-$64,999)",408
"Persons Place of Usual Residence","Cooma","$1,250-$1,499 ($65,000-$77,999)",256
"Persons Place of Usual Residence","Cooma","$1,500-$1,749 ($78,000-$90,999)",190
"Persons Place of Usual Residence","Cooma","$1,750-$1,999 ($91,000-$103,999)",147
"Persons Place of Usual Residence","Cooma","$2,000-$2,999 ($104,000-$155,999)",157
"Persons Place of Usual Residence","Cooma","$3,000 or more ($156,000 or more)",89
"Persons Place of Usual Residence","Cooma","Not stated",826
"Persons Place of Usual Residence","Cooma","Not applicable",1064
"Persons Place of Usual Residence","Cooma","Total",6737
"Persons Place of Usual Residence","Cooma Region","Negative income",12
"Persons Place of Usual Residence","Cooma Region","Nil income",175
"Persons Place of Usual Residence","Cooma Region","$1-$149 ($1-$7,799)",116
"Persons Place of Usual Residence","Cooma Region","$150-$299 ($7,800-$15,599)",188
"Persons Place of Usual Residence","Cooma Region","$300-$399 ($15,600-$20,799)",271
"Persons Place of Usual Residence","Cooma Region","$400-$499 ($20,800-$25,999)",234
"Persons Place of Usual Residence","Cooma Region","$500-$649 ($26,000-$33,799)",239
"Persons Place of Usual Residence","Cooma Region","$650-$799 ($33,800-$41,599)",218
"Persons Place of Usual Residence","Cooma Region","$800-$999 ($41,600-$51,999)",242
"Persons Place of Usual Residence","Cooma Region","$1,000-$1,249 ($52,000-$64,999)",205
"Persons Place of Usual Residence","Cooma Region","$1,250-$1,499 ($65,000-$77,999)",148
"Persons Place of Usual Residence","Cooma Region","$1,500-$1,749 ($78,000-$90,999)",107
"Persons Place of Usual Residence","Cooma Region","$1,750-$1,999 ($91,000-$103,999)",84
"Persons Place of Usual Residence","Cooma Region","$2,000-$2,999 ($104,000-$155,999)",119
"Persons Place of Usual Residence","Cooma Region","$3,000 or more ($156,000 or more)",65
"Persons Place of Usual Residence","Cooma Region","Not stated",302
"Persons Place of Usual Residence","Cooma Region","Not applicable",559
"Persons Place of Usual Residence","Cooma Region","Total",3282
"Persons Place of Usual Residence","Jindabyne - Berridale","Negative income",26
"Persons Place of Usual Residence","Jindabyne - Berridale","Nil income",253
"Persons Place of Usual Residence","Jindabyne - Berridale","$1-$149 ($1-$7,799)",205
"Persons Place of Usual Residence","Jindabyne - Berridale","$150-$299 ($7,800-$15,599)",271
"Persons Place of Usual Residence","Jindabyne - Berridale","$300-$399 ($15,600-$20,799)",397
"Persons Place of Usual Residence","Jindabyne - Berridale","$400-$499 ($20,800-$25,999)",401
"Persons Place of Usual Residence","Jindabyne - Berridale","$500-$649 ($26,000-$33,799)",549
"Persons Place of Usual Residence","Jindabyne - Berridale","$650-$799 ($33,800-$41,599)",584
"Persons Place of Usual Residence","Jindabyne - Berridale","$800-$999 ($41,600-$51,999)",603
"Persons Place of Usual Residence","Jindabyne - Berridale","$1,000-$1,249 ($52,000-$64,999)",597
"Persons Place of Usual Residence","Jindabyne - Berridale","$1,250-$1,499 ($65,000-$77,999)",365
"Persons Place of Usual Residence","Jindabyne - Berridale","$1,500-$1,749 ($78,000-$90,999)",283
"Persons Place of Usual Residence","Jindabyne - Berridale","$1,750-$1,999 ($91,000-$103,999)",188
"Persons Place of Usual Residence","Jindabyne - Berridale","$2,000-$2,999 ($104,000-$155,999)",241
"Persons Place of Usual Residence","Jindabyne - Berridale","$3,000 or more ($156,000 or more)",111
"Persons Place of Usual Residence","Jindabyne - Berridale","Not stated",638
"Persons Place of Usual Residence","Jindabyne - Berridale","Not applicable",1247
"Persons Place of Usual Residence","Jindabyne - Berridale","Total",6953
"Persons Place of Usual Residence","Batemans Bay","Negative income",26
"Persons Place of Usual Residence","Batemans Bay","Nil income",316
"Persons Place of Usual Residence","Batemans Bay","$1-$149 ($1-$7,799)",264
"Persons Place of Usual Residence","Batemans Bay","$150-$299 ($7,800-$15,599)",543
"Persons Place of Usual Residence","Batemans Bay","$300-$399 ($15,600-$20,799)",879
"Persons Place of Usual Residence","Batemans Bay","$400-$499 ($20,800-$25,999)",784
"Persons Place of Usual Residence","Batemans Bay","$500-$649 ($26,000-$33,799)",675
"Persons Place of Usual Residence","Batemans Bay","$650-$799 ($33,800-$41,599)",619
"Persons Place of Usual Residence","Batemans Bay","$800-$999 ($41,600-$51,999)",531
"Persons Place of Usual Residence","Batemans Bay","$1,000-$1,249 ($52,000-$64,999)",412
"Persons Place of Usual Residence","Batemans Bay","$1,250-$1,499 ($65,000-$77,999)",233
"Persons Place of Usual Residence","Batemans Bay","$1,500-$1,749 ($78,000-$90,999)",128
"Persons Place of Usual Residence","Batemans Bay","$1,750-$1,999 ($91,000-$103,999)",88
"Persons Place of Usual Residence","Batemans Bay","$2,000-$2,999 ($104,000-$155,999)",101
"Persons Place of Usual Residence","Batemans Bay","$3,000 or more ($156,000 or more)",67
"Persons Place of Usual Residence","Batemans Bay","Not stated",787
"Persons Place of Usual Residence","Batemans Bay","Not applicable",1240
"Persons Place of Usual Residence","Batemans Bay","Total",7689
"Persons Place of Usual Residence","Batemans Bay - South","Negative income",38
"Persons Place of Usual Residence","Batemans Bay - South","Nil income",362
"Persons Place of Usual Residence","Batemans Bay - South","$1-$149 ($1-$7,799)",269
"Persons Place of Usual Residence","Batemans Bay - South","$150-$299 ($7,800-$15,599)",554
"Persons Place of Usual Residence","Batemans Bay - South","$300-$399 ($15,600-$20,799)",940
"Persons Place of Usual Residence","Batemans Bay - South","$400-$499 ($20,800-$25,999)",898
"Persons Place of Usual Residence","Batemans Bay - South","$500-$649 ($26,000-$33,799)",716
"Persons Place of Usual Residence","Batemans Bay - South","$650-$799 ($33,800-$41,599)",641
"Persons Place of Usual Residence","Batemans Bay - South","$800-$999 ($41,600-$51,999)",609
"Persons Place of Usual Residence","Batemans Bay - South","$1,000-$1,249 ($52,000-$64,999)",485
"Persons Place of Usual Residence","Batemans Bay - South","$1,250-$1,499 ($65,000-$77,999)",272
"Persons Place of Usual Residence","Batemans Bay - South","$1,500-$1,749 ($78,000-$90,999)",177
"Persons Place of Usual Residence","Batemans Bay - South","$1,750-$1,999 ($91,000-$103,999)",136
"Persons Place of Usual Residence","Batemans Bay - South","$2,000-$2,999 ($104,000-$155,999)",152
"Persons Place of Usual Residence","Batemans Bay - South","$3,000 or more ($156,000 or more)",74
"Persons Place of Usual Residence","Batemans Bay - South","Not stated",842
"Persons Place of Usual Residence","Batemans Bay - South","Not applicable",1194
"Persons Place of Usual Residence","Batemans Bay - South","Total",8361
"Persons Place of Usual Residence","Bega - Tathra","Negative income",19
"Persons Place of Usual Residence","Bega - Tathra","Nil income",382
"Persons Place of Usual Residence","Bega - Tathra","$1-$149 ($1-$7,799)",301
"Persons Place of Usual Residence","Bega - Tathra","$150-$299 ($7,800-$15,599)",531
"Persons Place of Usual Residence","Bega - Tathra","$300-$399 ($15,600-$20,799)",729
"Persons Place of Usual Residence","Bega - Tathra","$400-$499 ($20,800-$25,999)",753
"Persons Place of Usual Residence","Bega - Tathra","$500-$649 ($26,000-$33,799)",624
"Persons Place of Usual Residence","Bega - Tathra","$650-$799 ($33,800-$41,599)",626
"Persons Place of Usual Residence","Bega - Tathra","$800-$999 ($41,600-$51,999)",610
"Persons Place of Usual Residence","Bega - Tathra","$1,000-$1,249 ($52,000-$64,999)",563
"Persons Place of Usual Residence","Bega - Tathra","$1,250-$1,499 ($65,000-$77,999)",340
"Persons Place of Usual Residence","Bega - Tathra","$1,500-$1,749 ($78,000-$90,999)",233
"Persons Place of Usual Residence","Bega - Tathra","$1,750-$1,999 ($91,000-$103,999)",180
"Persons Place of Usual Residence","Bega - Tathra","$2,000-$2,999 ($104,000-$155,999)",176
"Persons Place of Usual Residence","Bega - Tathra","$3,000 or more ($156,000 or more)",82
"Persons Place of Usual Residence","Bega - Tathra","Not stated",709
"Persons Place of Usual Residence","Bega - Tathra","Not applicable",1559
"Persons Place of Usual Residence","Bega - Tathra","Total",8405
"Persons Place of Usual Residence","Bega-Eden Hinterland","Negative income",52
"Persons Place of Usual Residence","Bega-Eden Hinterland","Nil income",486
"Persons Place of Usual Residence","Bega-Eden Hinterland","$1-$149 ($1-$7,799)",380
"Persons Place of Usual Residence","Bega-Eden Hinterland","$150-$299 ($7,800-$15,599)",699
"Persons Place of Usual Residence","Bega-Eden Hinterland","$300-$399 ($15,600-$20,799)",928
"Persons Place of Usual Residence","Bega-Eden Hinterland","$400-$499 ($20,800-$25,999)",785
"Persons Place of Usual Residence","Bega-Eden Hinterland","$500-$649 ($26,000-$33,799)",667
"Persons Place of Usual Residence","Bega-Eden Hinterland","$650-$799 ($33,800-$41,599)",602
"Persons Place of Usual Residence","Bega-Eden Hinterland","$800-$999 ($41,600-$51,999)",636
"Persons Place of Usual Residence","Bega-Eden Hinterland","$1,000-$1,249 ($52,000-$64,999)",517
"Persons Place of Usual Residence","Bega-Eden Hinterland","$1,250-$1,499 ($65,000-$77,999)",294
"Persons Place of Usual Residence","Bega-Eden Hinterland","$1,500-$1,749 ($78,000-$90,999)",228
"Persons Place of Usual Residence","Bega-Eden Hinterland","$1,750-$1,999 ($91,000-$103,999)",131
"Persons Place of Usual Residence","Bega-Eden Hinterland","$2,000-$2,999 ($104,000-$155,999)",159
"Persons Place of Usual Residence","Bega-Eden Hinterland","$3,000 or more ($156,000 or more)",78
"Persons Place of Usual Residence","Bega-Eden Hinterland","Not stated",706
"Persons Place of Usual Residence","Bega-Eden Hinterland","Not applicable",1458
"Persons Place of Usual Residence","Bega-Eden Hinterland","Total",8795
"Persons Place of Usual Residence","Broulee - Tomakin","Negative income",13
"Persons Place of Usual Residence","Broulee - Tomakin","Nil income",136
"Persons Place of Usual Residence","Broulee - Tomakin","$1-$149 ($1-$7,799)",105
"Persons Place of Usual Residence","Broulee - Tomakin","$150-$299 ($7,800-$15,599)",201
"Persons Place of Usual Residence","Broulee - Tomakin","$300-$399 ($15,600-$20,799)",329
"Persons Place of Usual Residence","Broulee - Tomakin","$400-$499 ($20,800-$25,999)",291
"Persons Place of Usual Residence","Broulee - Tomakin","$500-$649 ($26,000-$33,799)",262
"Persons Place of Usual Residence","Broulee - Tomakin","$650-$799 ($33,800-$41,599)",262
"Persons Place of Usual Residence","Broulee - Tomakin","$800-$999 ($41,600-$51,999)",244
"Persons Place of Usual Residence","Broulee - Tomakin","$1,000-$1,249 ($52,000-$64,999)",213
"Persons Place of Usual Residence","Broulee - Tomakin","$1,250-$1,499 ($65,000-$77,999)",136
"Persons Place of Usual Residence","Broulee - Tomakin","$1,500-$1,749 ($78,000-$90,999)",103
"Persons Place of Usual Residence","Broulee - Tomakin","$1,750-$1,999 ($91,000-$103,999)",75
"Persons Place of Usual Residence","Broulee - Tomakin","$2,000-$2,999 ($104,000-$155,999)",72
"Persons Place of Usual Residence","Broulee - Tomakin","$3,000 or more ($156,000 or more)",46
"Persons Place of Usual Residence","Broulee - Tomakin","Not stated",297
"Persons Place of Usual Residence","Broulee - Tomakin","Not applicable",495
"Persons Place of Usual Residence","Broulee - Tomakin","Total",3287
"Persons Place of Usual Residence","Deua - Wadbilliga","Negative income",0
"Persons Place of Usual Residence","Deua - Wadbilliga","Nil income",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$150-$299 ($7,800-$15,599)",4
"Persons Place of Usual Residence","Deua - Wadbilliga","$300-$399 ($15,600-$20,799)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$400-$499 ($20,800-$25,999)",4
"Persons Place of Usual Residence","Deua - Wadbilliga","$500-$649 ($26,000-$33,799)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$800-$999 ($41,600-$51,999)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$1,000-$1,249 ($52,000-$64,999)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$1,750-$1,999 ($91,000-$103,999)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","$2,000-$2,999 ($104,000-$155,999)",3
"Persons Place of Usual Residence","Deua - Wadbilliga","$3,000 or more ($156,000 or more)",0
"Persons Place of Usual Residence","Deua - Wadbilliga","Not stated",6
"Persons Place of Usual Residence","Deua - Wadbilliga","Not applicable",0
"Persons Place of Usual Residence","Deua - Wadbilliga","Total",25
"Persons Place of Usual Residence","Eden","Negative income",12
"Persons Place of Usual Residence","Eden","Nil income",161
"Persons Place of Usual Residence","Eden","$1-$149 ($1-$7,799)",101
"Persons Place of Usual Residence","Eden","$150-$299 ($7,800-$15,599)",265
"Persons Place of Usual Residence","Eden","$300-$399 ($15,600-$20,799)",339
"Persons Place of Usual Residence","Eden","$400-$499 ($20,800-$25,999)",345
"Persons Place of Usual Residence","Eden","$500-$649 ($26,000-$33,799)",244
"Persons Place of Usual Residence","Eden","$650-$799 ($33,800-$41,599)",239
"Persons Place of Usual Residence","Eden","$800-$999 ($41,600-$51,999)",215
"Persons Place of Usual Residence","Eden","$1,000-$1,249 ($52,000-$64,999)",192
"Persons Place of Usual Residence","Eden","$1,250-$1,499 ($65,000-$77,999)",83
"Persons Place of Usual Residence","Eden","$1,500-$1,749 ($78,000-$90,999)",55
"Persons Place of Usual Residence","Eden","$1,750-$1,999 ($91,000-$103,999)",50
"Persons Place of Usual Residence","Eden","$2,000-$2,999 ($104,000-$155,999)",46
"Persons Place of Usual Residence","Eden","$3,000 or more ($156,000 or more)",12
"Persons Place of Usual Residence","Eden","Not stated",368
"Persons Place of Usual Residence","Eden","Not applicable",500
"Persons Place of Usual Residence","Eden","Total",3218
"Persons Place of Usual Residence","Eurobodalla Hinterland","Negative income",14
"Persons Place of Usual Residence","Eurobodalla Hinterland","Nil income",186
"Persons Place of Usual Residence","Eurobodalla Hinterland","$1-$149 ($1-$7,799)",114
"Persons Place of Usual Residence","Eurobodalla Hinterland","$150-$299 ($7,800-$15,599)",257
"Persons Place of Usual Residence","Eurobodalla Hinterland","$300-$399 ($15,600-$20,799)",347
"Persons Place of Usual Residence","Eurobodalla Hinterland","$400-$499 ($20,800-$25,999)",323
"Persons Place of Usual Residence","Eurobodalla Hinterland","$500-$649 ($26,000-$33,799)",261
"Persons Place of Usual Residence","Eurobodalla Hinterland","$650-$799 ($33,800-$41,599)",252
"Persons Place of Usual Residence","Eurobodalla Hinterland","$800-$999 ($41,600-$51,999)",256
"Persons Place of Usual Residence","Eurobodalla Hinterland","$1,000-$1,249 ($52,000-$64,999)",192
"Persons Place of Usual Residence","Eurobodalla Hinterland","$1,250-$1,499 ($65,000-$77,999)",116
"Persons Place of Usual Residence","Eurobodalla Hinterland","$1,500-$1,749 ($78,000-$90,999)",68
"Persons Place of Usual Residence","Eurobodalla Hinterland","$1,750-$1,999 ($91,000-$103,999)",45
"Persons Place of Usual Residence","Eurobodalla Hinterland","$2,000-$2,999 ($104,000-$155,999)",54
"Persons Place of Usual Residence","Eurobodalla Hinterland","$3,000 or more ($156,000 or more)",38
"Persons Place of Usual Residence","Eurobodalla Hinterland","Not stated",285
"Persons Place of Usual Residence","Eurobodalla Hinterland","Not applicable",474
"Persons Place of Usual Residence","Eurobodalla Hinterland","Total",3298
"Persons Place of Usual Residence","Merimbula - Tura Beach","Negative income",23
"Persons Place of Usual Residence","Merimbula - Tura Beach","Nil income",431
"Persons Place of Usual Residence","Merimbula - Tura Beach","$1-$149 ($1-$7,799)",358
"Persons Place of Usual Residence","Merimbula - Tura Beach","$150-$299 ($7,800-$15,599)",697
"Persons Place of Usual Residence","Merimbula - Tura Beach","$300-$399 ($15,600-$20,799)",1069
"Persons Place of Usual Residence","Merimbula - Tura Beach","$400-$499 ($20,800-$25,999)",1110
"Persons Place of Usual Residence","Merimbula - Tura Beach","$500-$649 ($26,000-$33,799)",983
"Persons Place of Usual Residence","Merimbula - Tura Beach","$650-$799 ($33,800-$41,599)",864
"Persons Place of Usual Residence","Merimbula - Tura Beach","$800-$999 ($41,600-$51,999)",791
"Persons Place of Usual Residence","Merimbula - Tura Beach","$1,000-$1,249 ($52,000-$64,999)",678
"Persons Place of Usual Residence","Merimbula - Tura Beach","$1,250-$1,499 ($65,000-$77,999)",415
"Persons Place of Usual Residence","Merimbula - Tura Beach","$1,500-$1,749 ($78,000-$90,999)",289
"Persons Place of Usual Residence","Merimbula - Tura Beach","$1,750-$1,999 ($91,000-$103,999)",197
"Persons Place of Usual Residence","Merimbula - Tura Beach","$2,000-$2,999 ($104,000-$155,999)",199
"Persons Place of Usual Residence","Merimbula - Tura Beach","$3,000 or more ($156,000 or more)",121
"Persons Place of Usual Residence","Merimbula - Tura Beach","Not stated",932
"Persons Place of Usual Residence","Merimbula - Tura Beach","Not applicable",1461
